bobby: Ordprecision: 30.77%, Teckenprecision: 77.27%
hoho: Ordprecision: 30.77%, Teckenprecision: 77.27%
correct_answers_record: Ordprecision: 30.77%, Teckenprecision: 77.27%
hassan: Ordprecision: 30.77%, Teckenprecision: 52.27%
5566: Ordprecision: 30.77%, Teckenprecision: 77.27%
correct_ansers: Ordprecision: 30.77%, Teckenprecision: 52.27%
556: Ordprecision: 30.77%, Teckenprecision: 52.27%
hassan: Ordprecision: 30.77%, Teckenprecision: 52.27%
556_correct dickt: Ordprecision: 30.77%, Teckenprecision: 52.27%
non_go: Ordprecision: 7.69%, Teckenprecision: 25.00%
Correct_with_dict_now good: Ordprecision: 30.77%, Teckenprecision: 52.27%
try_less_nD_more: Ordprecision: 38.46%, Teckenprecision: 52.27%
klar_med_modulaering: Ordprecision: 30.77%, Teckenprecision: 52.27%
5566: Ordprecision: 30.77%, Teckenprecision: 52.27%
Sorted_dict_comp: Ordprecision: 30.77%, Teckenprecision: 52.27%
